FZRZGH	FZRXM	XMMC
0006117008	董申保	东秦岭加里东期花岗岩的区域岩石成因及大地构造环
0006120002	唐有祺	低维纳米结构控制与性能研究-唐有祺协作
0006120002	唐有祺	催化与光电功能体系表界面分子工程-唐有祺协作
0006120003	徐光宪	化学信息学与信息化学学科发展战略
0006120003	徐光宪	院士咨询费
0006121008	黄楠森	马克思主义哲学体系的坚持发展创新研究
0006126009	慈云祥	合作协议
0006127037	汤一介	儒藏编撰研究
0006127037	汤一介	儒藏编纂与研究
0006127037	汤一介	蔡元培学术讲座资助
0006127037	汤一介	中国儒学史·宋元卷
0006127037	汤一介	中国儒学史·近代卷
0006127037	汤一介	中国儒学史·隋唐卷
0006127037	汤一介	中国儒学史·清代卷
0006128020	陈耀松	环境风对公路积雪影响的数模实验研究
0006128020	陈耀松	GNN---航磁探潜系统
0006128020	陈耀松	JL9 飞机外挂物投放计算研究
0006128020	陈耀松	北车与南车动车组列车交会气动力及强侧风影响研究
0006128020	陈耀松	CRH2-300动车组列车交会气动力及强侧风影像等研究
0006128020	陈耀松	高速列车的数值模拟方法研究
0006128020	陈耀松	保护筒分离过程的非定常气动力计算
0006128020	陈耀松	供销合同
0006128020	陈耀松	格子波尔兹曼流体计算软件开发
0006128020	陈耀松	北车动车组列车交会气动力及强侧风影响研究
0006128020	陈耀松	南车动车组列车交会气动力及强侧风影响研究
0006128020	陈耀松	JL9飞机外挂物投放计算研究
0006128020	陈耀松	硅片传输平台气流分布与颗粒控制仿真硅片自动对准算法研究
0006128020	陈耀松	格子波尔兹曼流体计算软件开发
0006128020	陈耀松	水动力学若干课题计算
0006128020	陈耀松	上海磁探仪
0006128020	陈耀松	上海磁探仪2
0006128020	陈耀松	中国高速列车关键技术研究及装备研制-陈耀松协作
0006128020	陈耀松	物理气相沉积（PVD）等离子体仿真
0006128020	陈耀松	合作协议
0006128023	吴荣曾	点校本《汉书》修订
0006128023	吴荣曾	战国秦汉简牍所见制度与社会综合研究
0006129002	丁同仁	非线性振动中的调和解与次调和解
0006129012	赵柏林	西太平洋热带气旋强度的卫星遥测与发展分析
0006129012	赵柏林	星载雷达降雨遥感资料在区域预报模式中的应用
0006130001	闻国椿	非线性复方程及其应用
0006130015	蒋硕健	丙烯酸异冰片酯和丙烯酸双环戊烯基酯的合成
0006130015	蒋硕健	紫外光固化涂料
0006130015	蒋硕健	光纤内涂层系列单体、予聚物和涂层材料的研制、开发及生产
0006130015	蒋硕健	羟甲基纤维素改造
0006130027	顾孝诚	建立和发展功能基因组学的新理论..(医科院基础所
0006130027	顾孝诚	乙肝抗原preS及HPRT（两个基地：罗明）
0006130028	翟中和	重大基金协作（朱星负责）
0006130028	翟中和	非细胞体系核装配研究
0006130030		张梅98
0006130043	承继成	地球科学方法的历史形态和演进研究
0006130043	承继成	地球科学方法总论报告汇编
0006130043	承继成	城镇化与村镇建设动态监测关键技术研究-承继成协作
0006130070	厉以宁	深化国资国企改革与神华发展模式优化研究
0006130070	厉以宁	广东金融改革研究
0006130070	厉以宁	重庆市沙坪坝区文化产业发展研究
0006130070	厉以宁	社会主义政治经济学的中国化（教育部十九大专项）
0006130070	厉以宁	中国经理人制度
0006130070	厉以宁	广东金融改革研究
0006130070	厉以宁	近三百年资本主义发展史
0006130070	厉以宁	非公经济36条实施后的追踪调查
0006131032	万耀球	aaa|万耀球协作
0006131048	刘元方	核技术在分子水平上研究典型环境污染物的毒理——3.环境低毒有机物毒理
0006131048	刘元方	国家实验室运行费-刘元方协作
0006131048	刘元方	纳米技术增加难溶药物的透膜性及膜转运机理研究-刘元方协作
0006131048	刘元方	消费品中纳米颗粒的健康效应研究
0006131048	刘元方	纳米颗粒的靶分子选择性、其分子毒理学效应及其与纳米特性的相关性
0006131048	刘元方	核技术在分子水平上研究典型环境污染物的毒理研究（中科院高能物理所负责）
0006131050	卢希庭	重离子反应
0006131068	赵光武	哲学系世界金融危机复杂性探索研讨会
0006131095	张鸿年	列王纪研究
0006132011	尹道乐	异质多层膜和杂化价键材料的传输性质、相变和掺杂
0006132032	王义遒	从汽室直接实现超冷原子喷泉的实现研究
0006132032	王义遒	军用原子钟发展战略 “十一五“建设计划与技术指标体系研究
0006132032	王义遒	玻色-爱因斯坦凝聚的实现和原子激射器预先研究
0006132032	王义遒	时频系统实施及计量发展和战略研究
0006132032	王义遒	王义遒技术基础规划11
0006132039	王绍武	近21000年地球气候演变的模拟研究-王绍武协作
0006132039	王绍武	东亚夏季风与我国东部夏季降水年代际变化的诊断与模拟
0006132039	王绍武	北半球温度变化及典型暖期协同特征的集成研究
0006132039	王绍武	厄尔尼诺综合预测方法研究-王绍武协作
0006132039	王绍武	低温冷害
0006132039	王绍武	中国过去150年温度代用序列分区重建
0006132039	王绍武	东亚对流层温度的年代际和年际变率及其对短期气候预测的影响
0006132043	郭振泉	关于毒品氯胺酮（K粉）的快速检测技术研究的合作协议书
0006132043	郭振泉	体外抗肿瘤细胞活性筛选测试服务
0006132043	郭振泉	吡咯里西啶类生物碱广谱特异性抗体性质表征及样品测定
0006132043	郭振泉	体外抗肿瘤细胞活性筛选
0006132043	郭振泉	体外抗肿瘤细胞活性筛查
